id,Plat_Num,Long,Lat
118361,1.000000000000000,149.598097,-34.752283
118360,1.000000000000000,149.597956,-34.747778
61539,3.000000000000000,148.663537,-35.796439
78386,4.000000000000000,148.939693,-35.319017
56355,1.000000000000000,148.577893,-35.941835
80416,1.000000000000000,148.980845,-35.651902
78388,3.000000000000000,148.939908,-35.328028
88944,2.000000000000000,149.130603,-35.883717
85866,1.000000000000000,149.064072,-35.235821
85865,1.000000000000000,149.063958,-35.231315
92075,13.000000000000000,149.170210,-35.301575
50178,1.000000000000000,148.474025,-36.019784
88959,1.000000000000000,149.132417,-35.951290
36995,2.000000000000000,148.242083,-35.377787
127643,1.000000000000000,149.774300,-35.442447
92076,4.000000000000000,149.170330,-35.306080
88930,3.000000000000000,149.128916,-35.820647
27996,1.000000000000000,148.095900,-35.960727
