fid,ogc_fid,sa2_main16,sa2_5dig16,sa2_name16,sa3_code16,sa3_name16,sa4_code16,sa4_name16,gcc_code16,gcc_name16,ste_code16,ste_name16,areasqkm16,Long,Lat,EJD_Total,EJD_AgriFor,EJD_Mining,EJD_Manufacturing,EJD_Util,EJD_Constr,EJD_Wholesale,EJD_Retail,EJD_AccoFood,EJD_Logistic,EJD_IT,EJD_Fin,EJD_RealEst,EJD_ProfServ,EJD_Admin,EJD_GovDef,EJD_Edu,EJD_Health,EJD_Arts,EJD_Other,EMP_Total_2016,EMP_Total_2021,ERP_2014,ERP_2015,ERP_2016,ERP_2017,ERP_2018,ERP_2019,ERP_2020,EJD_Total_Level
44,2208,801041037,81037,Crace,80104,Gungahlin,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,1.6518,149.1074178,-35.20283431,40155.32177,475.3261259,181.4026117,1779.254839,348.3552564,2555.375231,906.4063258,3613.413314,2795.463738,1470.679108,834.7100134,1364.683842,649.692078,3617.254991,1142.43756,6432.101807,3756.794335,4596.162912,706.1766871,1399.781424,0,0,3083,3962,4561,4916,5139,5241,5320,Lv 6
45,2210,801041039,81039,Franklin,80104,Gungahlin,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,2.2966,149.1432932,-35.19946084,37792.81101,463.4676682,179.8090327,1751.353976,345.7525829,2537.88579,889.6770879,3418.542157,2593.655415,1426.212252,790.4916674,1307.599579,620.4756903,3341.585325,1099.295244,5703.208828,3510.133553,4319.86438,668.0850337,1345.841219,0,0,5580,6045,6531,7068,7330,7440,7480,Lv 6
46,2211,801041040,81040,Gungahlin,80104,Gungahlin,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,4.5642,149.1361929,-35.18674367,38565.25714,461.7560775,179.2700967,1726.964919,314.497753,2388.837456,886.8710221,3982.103673,2971.509314,1378.052728,745.8075591,1365.131823,671.765229,3255.294343,1061.733375,5516.41847,3606.672894,4501.161455,691.2485836,1386.386216,0,0,6098,6176,6276,6347,6496,6745,6972,Lv 6
47,2212,801041043,81043,Hall,80104,Gungahlin,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,2.8593,149.0628131,-35.16918314,36141.1909,476.7283953,178.7550717,1702.136012,317.372593,2305.525674,851.6101253,3296.917779,2536.818841,1367.987032,724.7365696,1292.156906,591.4563266,3207.923869,1039.14958,5387.794926,3380.432734,4187.380778,628.7020893,1264.102161,0,0,304,298,293,281,276,267,291,Lv 6
48,2213,801041044,81044,Harrison,80104,Gungahlin,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,2.9168,149.1560948,-35.19909026,35795.00632,462.6153299,180.095486,1700.616345,309.3088116,2277.978385,852.9523483,3263.656509,2522.325051,1365.980336,725.0891926,1301.940821,587.8621722,3130.79542,1028.578892,5193.291978,3471.723783,4148.571569,615.6902895,1241.261147,0,0,6481,7272,7828,8442,8759,8888,8866,Lv 6
49,2214,801041045,81045,Mitchell,80104,Gungahlin,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,7.3847,149.1293418,-35.2144703,44250.21285,473.2550006,185.9920571,1991.841828,488.3336199,3544.939662,1040.759,3808.294542,2839.288489,1676.849182,1017.63165,1370.980764,697.731003,3979.314413,1317.933665,6884.733875,3882.114984,4721.021282,839.4744708,1742.406052,0,0,6,5,4,4,4,4,4,Lv 7
50,2215,801041046,81046,Ngunnawal,80104,Gungahlin,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,4.1591,149.111466,-35.17280302,35889.40471,458.6590751,178.1674731,1699.192581,313.0547326,2409.481059,851.6350498,3348.009842,2519.623884,1368.509808,721.1252617,1276.673322,589.3070399,3138.420243,1049.485568,5069.540915,3424.005725,4185.95692,617.9985894,1266.065994,0,0,9561,10176,10590,11008,11201,11291,11211,Lv 6
51,2224,801041122,81122,Throsby,80104,Gungahlin,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,1.4795,149.1617833,-35.18898404,35713.73718,461.812076,180.176886,1703.95959,310.558037,2257.256713,856.1017339,3296.212465,2535.179278,1363.13088,727.7001129,1302.101179,590.9657558,3120.054746,1024.72138,5205.14226,3367.191941,4142.559207,615.5055973,1241.307254,0,0,0,0,0,0,253,776,1328,Lv 6
52,2225,801051049,81049,Acton,80105,North Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,2.7374,149.1150512,-35.28135202,56065.54531,477.4967604,180.7830069,1775.347799,428.9690216,2530.04128,920.8578035,3888.335651,3657.355269,1619.405163,1137.709428,1589.980432,799.7606868,5664.138794,1479.107169,12357.16447,7912.891705,5161.666277,1032.241139,1608.133558,0,0,2049,2100,2126,2205,2231,2307,2196,Lv 8
53,2216,801041047,81047,Nicholls,80104,Gungahlin,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,6.7016,149.0964811,-35.18733328,36170.45645,467.2960166,178.0445695,1683.883826,315.5429069,2291.577824,849.1880919,3314.948559,2733.212508,1350.371395,706.4289566,1276.478573,582.0662548,3148.759505,1045.863791,5177.889478,3516.332035,4191.350434,675.3414247,1261.539553,0,0,6943,6946,6964,6957,6929,6894,6908,Lv 6
54,2217,801041048,81048,Palmerston,80104,Gungahlin,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,1.9481,149.1194037,-35.19446906,37434.97314,463.8350374,179.1191564,1732.842204,332.3146235,2458.725995,879.5370455,3449.351677,2617.664285,1406.002617,765.8407521,1304.250408,614.7298601,3302.426613,1078.7521,5545.31216,3551.265329,4307.901193,657.9858503,1337.425844,0,0,5739,5666,5641,5619,5584,5565,5510,Lv 6
55,2226,801051050,81050,Ainslie,80105,North Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,3.5405,149.1478459,-35.26224684,48501.11694,480.5892653,181.3166917,1882.623825,389.1814266,2608.807514,954.9580802,3909.098892,3490.734181,1593.006237,1000.675001,1524.103456,776.184157,4485.213511,1338.351164,10177.56483,4424.453549,5145.020326,830.9521022,1574.230075,0,0,5250,5255,5285,5323,5371,5339,5216,Lv 7
56,2218,801041116,81116,Gungahlin - East,80104,Gungahlin,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,17.2008,149.1739486,-35.18198582,34096.65208,456.8051534,178.9698125,1676.028283,301.5535789,2163.480881,838.6508324,3166.317912,2414.597825,1326.734528,694.6803064,1268.784562,567.2202718,2966.534082,985.8454115,4810.239842,3154.884051,3988.127843,584.710463,1188.810822,0,0,0,0,0,0,0,0,0,Lv 6
