id,J_Job_POW,J_Pop_PUR,J_Val_Job,J_Val_Pop,J_BiVar,Long,Lat
1853,"29","527",A,"3",A3,149.034404,-35.350551
1852,"30","501",A,"3",A3,149.034291,-35.346046
1855,"27","233",A,"2",A2,149.034630,-35.359562
1854,"43","426",A,"3",A3,149.034517,-35.355057
1825,"54","465",A,"3",A3,149.031249,-35.224393
1824,"18","400",A,"3",A3,149.031137,-35.219887
1827,"25","504",A,"3",A3,149.031474,-35.233404
1826,"24","520",A,"3",A3,149.031362,-35.228898
1829,"28","382",A,"3",A3,149.031699,-35.242415
1828,"28","444",A,"3",A3,149.031587,-35.237910
1831,"17","226",A,"2",A2,149.031924,-35.251427
1830,"47","294",A,"2",A2,149.031811,-35.246921
1833,"1","0",A,"1",A1,149.032149,-35.260438
1832,"0","7",A,"1",A1,149.032036,-35.255933
1835,"0","0",A,"1",A1,149.032374,-35.269450
1834,"1","0",A,"1",A1,149.032261,-35.264944
1837,"0","0",A,"1",A1,149.032599,-35.278461
1836,"0","0",A,"1",A1,149.032487,-35.273955
1839,"2","0",A,"1",A1,149.032824,-35.287472
1838,"0","0",A,"1",A1,149.032712,-35.282967
1745,"21","335",A,"2",A2,149.028680,-35.341632
1744,"22","439",A,"3",A3,149.028567,-35.337127
1747,"34","306",A,"2",A2,149.028905,-35.350644
1746,"43","330",A,"2",A2,149.028792,-35.346138
1749,"1","0",A,"1",A1,149.029130,-35.359655
1748,"8","96",A,"1",A1,149.029018,-35.355149
1751,"0","0",A,"1",A1,149.029356,-35.368666
1750,"1","0",A,"1",A1,149.029243,-35.364160
1753,"1","0",A,"1",A1,149.029582,-35.377677
1752,"1","0",A,"1",A1,149.029469,-35.373172
5853,"0","0",A,"1",A1,149.239886,-35.220711
1755,"0","5",A,"1",A1,149.029808,-35.386688
1754,"1","1",A,"1",A1,149.029695,-35.382183
5855,"3","0",A,"1",A1,149.240134,-35.229721
1757,"7","13",A,"1",A1,149.030033,-35.395700
5854,"0","0",A,"1",A1,149.240010,-35.225216
1756,"18","55",A,"1",A1,149.029920,-35.391194
1759,"0","0",A,"1",A1,149.030259,-35.404711
1758,"2","0",A,"1",A1,149.030146,-35.400205
1729,"0","1",A,"1",A1,149.026880,-35.269542
1728,"0","0",A,"1",A1,149.026768,-35.265036
1731,"0","0",A,"1",A1,149.027105,-35.278553
1730,"1","0",A,"1",A1,149.026992,-35.274047
