fid,ogc_fid,sa2_main16,sa2_5dig16,sa2_name16,sa3_code16,sa3_name16,sa4_code16,sa4_name16,gcc_code16,gcc_name16,ste_code16,ste_name16,areasqkm16,Long,Lat,EJD_Total,EJD_AgriFor,EJD_Mining,EJD_Manufacturing,EJD_Util,EJD_Constr,EJD_Wholesale,EJD_Retail,EJD_AccoFood,EJD_Logistic,EJD_IT,EJD_Fin,EJD_RealEst,EJD_ProfServ,EJD_Admin,EJD_GovDef,EJD_Edu,EJD_Health,EJD_Arts,EJD_Other,EMP_Total_2016,EMP_Total_2021,ERP_2014,ERP_2015,ERP_2016,ERP_2017,ERP_2018,ERP_2019,ERP_2020,EJD_Total_Level
325,563,128011602,11602,Caringbah,12801,Cronulla - Miranda - Caringbah,128,Sydney - Sutherland,1GSYD,Greater Sydney,1,New South Wales,3.9958,151.1242439,-34.03654193,107898.4497,587.9800742,347.3863494,6277.039316,772.3761976,7297.7274,3531.070475,10990.7031,7414.481292,5335.201622,2730.700714,6753.156848,2091.649091,10479.03578,3514.653701,6001.157735,8434.520362,14377.93425,1836.533616,3879.375888,13085.30288,14663.52665,11909,12066,12222,12376,12584,12881,13148,Lv 14
326,564,128011603,11603,Caringbah South,12801,Cronulla - Miranda - Caringbah,128,Sydney - Sutherland,1GSYD,Greater Sydney,1,New South Wales,4.0699,151.1206772,-34.05418335,94847.3017,554.2867103,339.0868376,5193.801358,726.2414327,6423.723086,3055.713575,9354.952995,6622.251662,4746.026988,2528.490424,6210.938747,1875.005156,9584.626235,3169.092159,5589.813676,7691.411352,11562.37239,1647.257533,3406.855412,1097.289162,1265.589919,12358,12423,12484,12572,12695,12872,13007,Lv 12
327,565,128011604,11604,Cronulla - Kurnell - Bundeena,12801,Cronulla - Miranda - Caringbah,128,Sydney - Sutherland,1GSYD,Greater Sydney,1,New South Wales,25.0865,151.1852059,-34.0317931,68710.48262,491.8299744,315.2806995,3921.436767,553.2584605,4823.981454,2350.990549,6508.733071,5474.561428,3299.676079,1733.186029,4228.409994,1523.441908,6799.17765,2259.916242,4060.508644,5541.030058,7856.392473,1174.938633,2494.416897,7779.517057,8672.12775,23846,24353,24746,24984,25320,25609,25760,Lv 10
328,566,128011605,11605,Lilli Pilli - Port Hacking - Dolans Bay,12801,Cronulla - Miranda - Caringbah,128,Sydney - Sutherland,1GSYD,Greater Sydney,1,New South Wales,1.2706,151.1201494,-34.06687009,86099.10031,538.9296011,327.6475693,4734.610703,664.7644445,5760.289098,2788.290339,8322.596714,6023.837661,4335.025369,2328.89401,5691.299551,1705.549404,8737.043767,2877.48561,5177.826844,7023.382004,10355.52576,1486.181392,3076.508985,362.2033441,409.4968462,3228,3242,3263,3267,3278,3270,3272,Lv 12
329,567,128011606,11606,Woolaware - Burraneer,12801,Cronulla - Miranda - Caringbah,128,Sydney - Sutherland,1GSYD,Greater Sydney,1,New South Wales,3.3282,151.1389519,-34.05204157,91031.06323,549.6649262,333.5330476,4986.159325,698.1229395,6147.188074,2921.683251,8866.511865,6433.155454,4528.351772,2428.226317,5938.482372,1808.964205,9162.488756,3018.029494,5381.559793,7570.435656,10988.97279,1649.77668,3249.467334,1984.842339,2233.555655,8009,8021,8038,8224,8324,8391,8617,Lv 12
330,568,128021533,11533,Heathcote - Waterfall,12802,Sutherland - Menai - Heathcote,128,Sydney - Sutherland,1GSYD,Greater Sydney,1,New South Wales,27.6162,150.980626,-34.10647544,71879.51936,523.0468946,336.4678186,3996.978837,566.7283176,4848.000909,2310.248765,6800.411102,5168.687682,3574.512288,1869.365146,4593.925512,1388.903124,7083.116164,2380.838623,4444.35865,6040.9764,8681.345147,1212.879323,2631.619827,1732.823355,1942.36609,6689,6686,6681,6685,6701,6729,6701,Lv 10
331,569,128021534,11534,Illawong - Alfords Point,12802,Sutherland - Menai - Heathcote,128,Sydney - Sutherland,1GSYD,Greater Sydney,1,New South Wales,7.2978,151.0338058,-33.99480732,82577.60589,541.9974135,323.8733809,4901.667798,673.9720651,5645.030302,2785.125695,7924.620008,5651.857142,4227.303321,2106.892436,5124.364016,1600.644038,7993.84857,2744.065406,5037.958916,6994.86089,9898.614613,1362.569308,2965.564651,1549.924138,1751.323033,11042,10960,10859,10787,10683,10599,10600,Lv 11
332,570,128021535,11535,Menai - Lucas Heights - Woronora,12802,Sutherland - Menai - Heathcote,128,Sydney - Sutherland,1GSYD,Greater Sydney,1,New South Wales,33.4047,151.0011938,-34.0222824,84725.35198,545.3373523,328.3770352,4824.111127,741.0452465,5720.337811,2735.078419,8289.304127,5906.21157,4174.138448,2038.813744,5011.836841,1596.283665,8904.327416,2723.603192,5094.354239,7436.382588,10106.1642,1409.908503,3053.395789,6735.470212,7712.52682,21782,21762,21765,21736,21740,21719,21678,Lv 11
333,571,128021536,11536,Oyster Bay - Como - Jannali,12802,Sutherland - Menai - Heathcote,128,Sydney - Sutherland,1GSYD,Greater Sydney,1,New South Wales,8.9053,151.070347,-34.01032545,84384.90333,528.6826738,326.8366109,4554.168748,642.9736551,5680.980938,2646.925169,8089.025584,5934.953431,4161.002268,2212.125582,5465.268706,1652.159638,8532.02909,2825.708012,5125.109645,7276.463265,10164.37122,1460.212383,3061.790596,3344.942318,3793.436712,21664,21752,21839,21966,22092,22201,22260,Lv 11
334,572,128021537,11537,Royal National Park,12802,Sutherland - Menai - Heathcote,128,Sydney - Sutherland,1GSYD,Greater Sydney,1,New South Wales,139.3336,151.0676492,-34.11142787,57497.47674,470.8614329,281.627468,3241.308891,471.33667,3808.031098,1859.415826,5463.678254,4064.565542,2842.323353,1517.228932,3667.087711,1119.264207,5693.996729,1901.616706,3640.21693,4791.666763,6861.30041,994.484778,2064.221931,102.2805809,110.5941177,24,26,28,28,28,28,28,Lv 9
