fid,id,left,top,right,bottom,J_Attached,J_Secondar,J_Medium d,J_Apartmen,J_Total_Ne,Long,Lat
6993,6993,691805.209294467116706,6099355.034500000067055,692093.884429062018171,6099105.034500000067055,"5.298864124","31.79411362","0","0","37.09297774",149.10933,-35.23162
6994,6994,691805.209294467116706,6099105.034500000067055,692093.884429062018171,6098855.034500000067055,"0","28.76261428","0","0","28.76261428",149.10938,-35.23388
6995,6995,691805.209294467116706,6098855.034500000067055,692093.884429062018171,6098605.034500000067055,"0.01095942","17.59504709","0","0","17.60600651",149.10944,-35.23613
6996,6996,691805.209294467116706,6098605.034500000067055,692093.884429062018171,6098355.034500000067055,"0","0","0","0","0",149.10950,-35.23838
6997,6997,691805.209294467116706,6098355.034500000067055,692093.884429062018171,6098105.034500000067055,"0","0","0","0","0",149.10956,-35.24063
6998,6998,691805.209294467116706,6098105.034500000067055,692093.884429062018171,6097855.034500000067055,"0","0","0","0","0",149.10962,-35.24289
6999,6999,691805.209294467116706,6097855.034500000067055,692093.884429062018171,6097605.034500000067055,"0","0","0","0","0",149.10968,-35.24514
7000,7000,691805.209294467116706,6097605.034500000067055,692093.884429062018171,6097355.034499999135733,"0","0","0","0","0",149.10973,-35.24739
7001,7001,691805.209294467116706,6097355.034499999135733,692093.884429062018171,6097105.034500000067055,"0","0","0","0","0",149.10979,-35.24965
7002,7002,691805.209294467116706,6097105.034500000067055,692093.884429062018171,6096855.034500000067055,"0","0","0","0","0",149.10985,-35.25190
7003,7003,691805.209294467116706,6096855.034500000067055,692093.884429062018171,6096605.034500000067055,"0","0","0","0","0",149.10991,-35.25415
7004,7004,691805.209294467116706,6096605.034500000067055,692093.884429062018171,6096355.034500000067055,"3.456087321","7.663621488","0","0","11.11970881",149.10997,-35.25640
7005,7005,691805.209294467116706,6096355.034500000067055,692093.884429062018171,6096105.034500000067055,"2.554562148","0","0","0","2.554562148",149.11003,-35.25866
7006,7006,691805.209294467116706,6096105.034500000067055,692093.884429062018171,6095855.034500000067055,"0","0.810435794","0","0","0.810435794",149.11008,-35.26091
7007,7007,691805.209294467116706,6095855.034500000067055,692093.884429062018171,6095605.034500000998378,"0","0","0","0","0",149.11014,-35.26316
7008,7008,691805.209294467116706,6095605.034500000998378,692093.884429062018171,6095355.034500000067055,"0","0","0","0","0",149.11020,-35.26541
7009,7009,691805.209294467116706,6095355.034500000067055,692093.884429062018171,6095105.034500000067055,"0","0","0","0","0",149.11026,-35.26767
7010,7010,691805.209294467116706,6095105.034500000067055,692093.884429062018171,6094855.034500000067055,"0","0","0","0","0",149.11032,-35.26992
7011,7011,691805.209294467116706,6094855.034500000067055,692093.884429062018171,6094605.034500000067055,"0","0","0","0","0",149.11038,-35.27217
7012,7012,691805.209294467116706,6094605.034500000067055,692093.884429062018171,6094355.034500000067055,"0","0","0","0","0",149.11043,-35.27443
7013,7013,691805.209294467116706,6094355.034500000067055,692093.884429062018171,6094105.034500000067055,"0","0","0","0","0",149.11049,-35.27668
7014,7014,691805.209294467116706,6094105.034500000067055,692093.884429062018171,6093855.034500000067055,"0","0","0","0","0",149.11055,-35.27893
7015,7015,691805.209294467116706,6093855.034500000067055,692093.884429062018171,6093605.034500000067055,"0","0","0","0","0",149.11061,-35.28118
7016,7016,691805.209294467116706,6093605.034500000067055,692093.884429062018171,6093355.034499999135733,"0","0","0","0","0",149.11067,-35.28344
7017,7017,691805.209294467116706,6093355.034499999135733,692093.884429062018171,6093105.034500000067055,"0","0","0","0","0",149.11073,-35.28569
7018,7018,691805.209294467116706,6093105.034500000067055,692093.884429062018171,6092855.034500000067055,"0","0","0","0","0",149.11079,-35.28794
7019,7019,691805.209294467116706,6092855.034500000067055,692093.884429062018171,6092605.034500000067055,"0","0","0","0","0",149.11084,-35.29019
7020,7020,691805.209294467116706,6092605.034500000067055,692093.884429062018171,6092355.034500000067055,"0","0","0","0","0",149.11090,-35.29245
7021,7021,691805.209294467116706,6092355.034500000067055,692093.884429062018171,6092105.034500000067055,"0","0","0","0","0",149.11096,-35.29470
7022,7022,691805.209294467116706,6092105.034500000067055,692093.884429062018171,6091855.034500000067055,"0","0","0","0","0",149.11102,-35.29695
7023,7023,691805.209294467116706,6091855.034500000067055,692093.884429062018171,6091605.034500000998378,"0","0","0","0","0",149.11108,-35.29921
7024,7024,691805.209294467116706,6091605.034500000998378,692093.884429062018171,6091355.034500000067055,"0","0","0","0","0",149.11114,-35.30146
7025,7025,691805.209294467116706,6091355.034500000067055,692093.884429062018171,6091105.034500000067055,"7.987417311","0","0","0","7.987417311",149.11120,-35.30371
7026,7026,691805.209294467116706,6091105.034500000067055,692093.884429062018171,6090855.034500000067055,"17.07406345","1.354272597","0","0","18.42833604",149.11125,-35.30596
7027,7027,691805.209294467116706,6090855.034500000067055,692093.884429062018171,6090605.034500000067055,"8.550803915","3.237488587","0","0","11.7882925",149.11131,-35.30822
7028,7028,691805.209294467116706,6090605.034500000067055,692093.884429062018171,6090355.034500000067055,"3.767371013","0","0","0","3.767371013",149.11137,-35.31047
7029,7029,691805.209294467116706,6090355.034500000067055,692093.884429062018171,6090105.034500000067055,"13.38599914","4.210593824","0","0","17.59659296",149.11143,-35.31272
7030,7030,691805.209294467116706,6090105.034500000067055,692093.884429062018171,6089855.034500000067055,"9.468987503","16.7174273","0","0","26.1864148",149.11149,-35.31497
7031,7031,691805.209294467116706,6089855.034500000067055,692093.884429062018171,6089605.034500000067055,"0","12.82654172","0","0","12.82654172",149.11155,-35.31723
7032,7032,691805.209294467116706,6089605.034500000067055,692093.884429062018171,6089355.034499999135733,"2.680737472","7.557345764","0","0","10.23808324",149.11161,-35.31948
7033,7033,691805.209294467116706,6089355.034499999135733,692093.884429062018171,6089105.034500000067055,"0","0","0","0","0",149.11166,-35.32173
7034,7034,691805.209294467116706,6089105.034500000067055,692093.884429062018171,6088855.034500000067055,"0","0","0","0","0",149.11172,-35.32399
7035,7035,691805.209294467116706,6088855.034500000067055,692093.884429062018171,6088605.034500000067055,"0","0","0","0","0",149.11178,-35.32624
7036,7036,691805.209294467116706,6088605.034500000067055,692093.884429062018171,6088355.034500000067055,"0","0","0","0","0",149.11184,-35.32849
7037,7037,691805.209294467116706,6088355.034500000067055,692093.884429062018171,6088105.034500000067055,"0.67611735","0","0","0","0.67611735",149.11190,-35.33074
7038,7038,691805.209294467116706,6088105.034500000067055,692093.884429062018171,6087855.034500000067055,"15.95789425","14.90268585","0","0","30.8605801",149.11196,-35.33300
7039,7039,691805.209294467116706,6087855.034500000067055,692093.884429062018171,6087605.034500000998378,"10.38669921","16.83306981","0","0","27.21976902",149.11202,-35.33525
